Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775544210,2026-04-07T06:43:30Z,AFL010,"55.976257,37.398895",0,2,281
1775544950,2026-04-07T06:55:50Z,AFL010,"55.956852,37.35408",3000,156,232
1775544961,2026-04-07T06:56:01Z,AFL010,"55.954124,37.339539",3400,156,251
1775544969,2026-04-07T06:56:09Z,AFL010,"55.952473,37.330719",3625,158,251
1775544975,2026-04-07T06:56:15Z,AFL010,"55.951244,37.322842",3825,158,253
1775544977,2026-04-07T06:56:17Z,AFL010,"55.950687,37.319214",3875,158,254
1775544979,2026-04-07T06:56:19Z,AFL010,"55.95034,37.316761",3950,158,254
1775544982,2026-04-07T06:56:22Z,AFL010,"55.949944,37.314083",4025,158,254
1775544984,2026-04-07T06:56:24Z,AFL010,"55.949543,37.31134",4100,158,255
1775544987,2026-04-07T06:56:27Z,AFL010,"55.94902,37.307308",4225,156,256
1775544989,2026-04-07T06:56:29Z,AFL010,"55.948635,37.30455",4275,156,256
1775544991,2026-04-07T06:56:31Z,AFL010,"55.948235,37.301651",4325,158,256
1775544995,2026-04-07T06:56:35Z,AFL010,"55.9473,37.29504",4400,164,255
1775544998,2026-04-07T06:56:38Z,AFL010,"55.946926,37.292271",4425,168,256
1775545001,2026-04-07T06:56:41Z,AFL010,"55.946465,37.28838",4475,172,256
1775545003,2026-04-07T06:56:43Z,AFL010,"55.94606,37.284847",4500,174,257
1775545006,2026-04-07T06:56:46Z,AFL010,"55.945423,37.279678",4525,178,257
1775545008,2026-04-07T06:56:48Z,AFL010,"55.945213,37.278118",4550,180,257
1775545012,2026-04-07T06:56:52Z,AFL010,"55.944344,37.270882",4625,188,258
1775545014,2026-04-07T06:56:54Z,AFL010,"55.943951,37.267445",4675,190,258
1775545019,2026-04-07T06:56:59Z,AFL010,"55.946693,37.256462",4725,590,290
1775545040,2026-04-07T06:57:20Z,AFL010,"55.968521,37.401623",4950,53,319
1775545062,2026-04-07T06:57:42Z,AFL010,"55.935699,37.177948",5525,54,358
1775545083,2026-04-07T06:58:03Z,AFL010,"55.928745,37.132423",6475,55,29
