,07 апр,18 апр,20 апр,21 апр,22 апр
07 апр,0.0,1.5295155552293902,2.1274377176549333,3.931524754396409,3.12477929425516
18 апр,1.5295155552293902,0.0,2.3128964678572794,6.158167461678713,5.395031364496772
20 апр,2.1274377176549333,2.3128964678572794,0.0,3.283475423395472,3.9429731489586346
21 апр,3.931524754396409,6.158167461678713,3.283475423395472,0.0,1.5325561382295414
22 апр,3.12477929425516,5.395031364496772,3.9429731489586346,1.5325561382295414,0.0
