,07 апр,18 апр,20 апр,21 апр,22 апр
07 апр,0.0,0.0038237888880734757,0.005318594294137333,0.009828811885991022,0.0078119482356379
18 апр,0.0038237888880734757,0.0,0.005782241169643198,0.015395418654196781,0.01348757841124193
20 апр,0.005318594294137333,0.005782241169643198,0.0,0.008208688558488681,0.009857432872396587
21 апр,0.009828811885991022,0.015395418654196781,0.008208688558488681,0.0,0.0038313903455738534
22 апр,0.0078119482356379,0.01348757841124193,0.009857432872396587,0.0038313903455738534,0.0
