,07 апр,18 апр,20 апр,21 апр,22 апр
07 апр,0.0,0.002821906034205861,0.0032765921282888627,0.004169836789851703,0.003062214768444453
18 апр,0.002821906034205861,0.0,0.0037346317134383583,0.004386705308324705,0.0032737831609675407
20 апр,0.0032765921282888627,0.0037346317134383583,0.0,0.0028562419867939415,0.0037312767209229645
21 апр,0.004169836789851703,0.004386705308324705,0.0028562419867939415,0.0,0.0032703737943620883
22 апр,0.003062214768444453,0.0032737831609675407,0.0037312767209229645,0.0032703737943620883,0.0
