lat,lon,Altitude,Speed,UTC
55.979141,37.418705,0,0,2026-04-20T06:38:53Z
55.978718,37.421364,0,0,2026-04-20T06:45:19Z
55.978741,37.421345,0,0,2026-04-20T06:46:30Z
55.973396,37.399166,0,9,2026-04-20T06:51:40Z
55.97319,37.398792,0,0,2026-04-20T06:51:50Z
55.972897,37.398983,0,0,2026-04-20T06:52:22Z
55.971703,37.399876,0,3,2026-04-20T06:54:36Z
55.98037,37.472786,2500,148,2026-04-20T06:56:39Z
55.981682,37.485382,2875,146,2026-04-20T06:56:51Z
55.98246,37.493404,3075,144,2026-04-20T06:56:57Z
55.982792,37.495258,3150,144,2026-04-20T06:56:59Z
55.983093,37.497696,3250,142,2026-04-20T06:57:01Z
55.983627,37.501934,3350,140,2026-04-20T06:57:04Z
55.983929,37.504196,3475,138,2026-04-20T06:57:07Z
55.984341,37.507202,3575,138,2026-04-20T06:57:10Z
55.984695,37.509232,3650,136,2026-04-20T06:57:12Z
55.985031,37.511784,3725,136,2026-04-20T06:57:14Z
55.985653,37.516029,3850,136,2026-04-20T06:57:18Z
55.986343,37.519455,3925,138,2026-04-20T06:57:21Z
55.986675,37.521835,3950,142,2026-04-20T06:57:23Z
55.986885,37.524372,3975,142,2026-04-20T06:57:25Z
55.987259,37.526581,4000,146,2026-04-20T06:57:28Z
55.987686,37.529221,4025,146,2026-04-20T06:57:30Z
55.988094,37.531784,4050,148,2026-04-20T06:57:32Z
55.988445,37.534164,4100,138,2026-04-20T06:57:34Z
55.988918,37.537117,4125,154,2026-04-20T06:57:36Z
55.989452,37.540154,4175,156,2026-04-20T06:57:38Z
55.989773,37.542133,4200,156,2026-04-20T06:57:40Z
55.990299,37.544922,4250,160,2026-04-20T06:57:43Z
55.990757,37.547863,4275,152,2026-04-20T06:57:45Z
55.991074,37.551247,4325,53,2026-04-20T06:57:47Z
55.974655,37.399208,4475,53,2026-04-20T06:57:55Z
55.993629,37.565903,4550,54,2026-04-20T06:57:58Z
55.998589,37.594456,4925,53,2026-04-20T06:58:19Z
56.000984,37.607517,5200,164,2026-04-20T06:58:27Z
56.008141,37.646027,6150,54,2026-04-20T06:58:50Z
56.025425,37.668003,7025,51,2026-04-20T06:59:12Z
56.041695,37.665844,7400,249,2026-04-20T06:59:27Z
56.065746,37.652515,8275,54,2026-04-20T06:59:48Z
56.08836,37.637581,9050,53,2026-04-20T07:00:08Z
56.110645,37.590179,10225,52,2026-04-20T07:00:35Z
56.111931,37.538193,10725,54,2026-04-20T07:00:56Z
56.101364,37.483345,11400,53,2026-04-20T07:01:17Z
56.090267,37.427845,12050,54,2026-04-20T07:01:37Z
56.08712,37.338242,13050,344,2026-04-20T07:02:10Z
56.089413,37.314095,13200,54,2026-04-20T07:02:18Z
56.093731,37.269058,13475,359,2026-04-20T07:02:33Z
56.094311,37.263283,13500,365,2026-04-20T07:02:35Z
56.094933,37.256824,13550,250,2026-04-20T07:02:37Z
56.095547,37.250183,13600,381,2026-04-20T07:02:39Z
56.096058,37.244297,13625,375,2026-04-20T07:02:41Z
56.096764,37.237068,13675,53,2026-04-20T07:02:44Z
56.102802,37.172462,14175,54,2026-04-20T07:03:04Z
56.10881,37.106647,14850,54,2026-04-20T07:03:24Z
56.109467,37.099537,14950,53,2026-04-20T07:03:26Z
56.11544,37.031921,15600,55,2026-04-20T07:03:47Z
56.121441,36.964115,16350,54,2026-04-20T07:04:07Z
56.127522,36.892719,17175,54,2026-04-20T07:04:28Z
56.133186,36.825508,18000,53,2026-04-20T07:04:48Z
56.13681,36.782055,18475,416,2026-04-20T07:05:02Z
56.13797,36.770958,18525,54,2026-04-20T07:05:04Z
56.142422,36.715641,18950,417,2026-04-20T07:05:21Z
56.149029,36.640099,19525,52,2026-04-20T07:05:42Z
56.151394,36.611427,19800,431,2026-04-20T07:05:51Z
56.157665,36.537174,20425,54,2026-04-20T07:06:12Z
56.163898,36.462193,21025,53,2026-04-20T07:06:33Z
56.172958,36.352802,21825,270,2026-04-20T07:07:04Z
56.173679,36.343761,21900,280,2026-04-20T07:07:06Z
56.174191,36.336094,21950,433,2026-04-20T07:07:08Z
56.174744,36.32893,22025,438,2026-04-20T07:07:10Z
56.175369,36.320969,22075,443,2026-04-20T07:07:12Z
56.17627,36.311855,22125,447,2026-04-20T07:07:14Z
56.177177,36.303234,22200,448,2026-04-20T07:07:17Z
56.177898,36.296787,22275,445,2026-04-20T07:07:19Z
56.178722,36.289692,22325,448,2026-04-20T07:07:21Z
56.179771,36.281315,22375,449,2026-04-20T07:07:23Z
56.180859,36.274044,22425,445,2026-04-20T07:07:25Z
56.18206,36.266914,22500,445,2026-04-20T07:07:27Z
56.183681,36.258274,22550,447,2026-04-20T07:07:30Z
56.185055,36.251003,22625,452,2026-04-20T07:07:32Z
56.186947,36.243065,22675,448,2026-04-20T07:07:34Z
56.188816,36.236305,22750,445,2026-04-20T07:07:36Z
56.190716,36.22937,22825,446,2026-04-20T07:07:38Z
56.193039,36.221325,22875,443,2026-04-20T07:07:40Z
56.194809,36.215649,22950,444,2026-04-20T07:07:42Z
56.196922,36.209156,23000,442,2026-04-20T07:07:45Z
56.199257,36.202888,23075,439,2026-04-20T07:07:47Z
56.202255,36.195362,23125,370,2026-04-20T07:07:49Z
56.204479,36.189915,23175,310,2026-04-20T07:07:51Z
56.207199,36.183899,23225,439,2026-04-20T07:07:53Z
56.209717,36.178539,23275,438,2026-04-20T07:07:55Z
56.212624,36.172745,23325,430,2026-04-20T07:07:57Z
56.215508,36.16687,23375,435,2026-04-20T07:07:59Z
56.218719,36.160995,23425,435,2026-04-20T07:08:01Z
56.222073,36.155483,23450,436,2026-04-20T07:08:04Z
56.224945,36.150936,23525,439,2026-04-20T07:08:06Z
56.22831,36.146229,23575,437,2026-04-20T07:08:08Z
56.231956,36.14135,23625,439,2026-04-20T07:08:10Z
56.235249,36.136982,23675,431,2026-04-20T07:08:12Z
56.238937,36.132065,23725,431,2026-04-20T07:08:14Z
56.242519,36.127552,23775,433,2026-04-20T07:08:16Z
56.245396,36.123814,23825,434,2026-04-20T07:08:19Z
56.248806,36.119423,23900,436,2026-04-20T07:08:21Z
56.252541,36.114449,23925,437,2026-04-20T07:08:23Z
56.255981,36.109779,23975,436,2026-04-20T07:08:25Z
56.259254,36.105186,24025,438,2026-04-20T07:08:27Z
56.263134,36.100159,24050,442,2026-04-20T07:08:29Z
56.267235,36.094795,24100,438,2026-04-20T07:08:31Z
56.26981,36.091312,24150,436,2026-04-20T07:08:33Z
56.273018,36.086952,24175,440,2026-04-20T07:08:36Z
56.321083,36.020741,24875,230,2026-04-20T07:09:05Z
56.324368,36.015976,24925,431,2026-04-20T07:09:07Z
56.32827,36.010506,24950,436,2026-04-20T07:09:10Z
56.33215,36.005306,25000,443,2026-04-20T07:09:12Z
56.335785,36.000351,25025,450,2026-04-20T07:09:14Z
56.38636,35.929691,25600,457,2026-04-20T07:09:45Z
56.400394,35.90966,25700,150,2026-04-20T07:09:53Z
56.404026,35.904564,25725,220,2026-04-20T07:09:56Z
56.407486,35.900177,25750,464,2026-04-20T07:09:58Z
56.411221,35.895004,25800,459,2026-04-20T07:10:00Z
56.41473,35.890018,25825,457,2026-04-20T07:10:02Z
56.420315,35.885323,25850,470,2026-04-20T07:10:04Z
56.422123,35.879841,25875,470,2026-04-20T07:10:06Z
56.425571,35.875347,25925,260,2026-04-20T07:10:08Z
56.430012,35.868973,25950,390,2026-04-20T07:10:10Z
56.432484,35.865513,26000,200,2026-04-20T07:10:12Z
56.43602,35.860012,26025,240,2026-04-20T07:10:15Z
56.43993,35.854813,26075,462,2026-04-20T07:10:17Z
56.443779,35.849823,26125,463,2026-04-20T07:10:19Z
56.447052,35.845009,26150,250,2026-04-20T07:10:21Z
56.450752,35.840187,26200,280,2026-04-20T07:10:23Z
56.454716,35.834511,26250,486,2026-04-20T07:10:25Z
56.45871,35.828922,26275,240,2026-04-20T07:10:27Z
56.461666,35.824947,26325,270,2026-04-20T07:10:29Z
56.465801,35.818722,26375,420,2026-04-20T07:10:31Z
56.470142,35.813274,26425,410,2026-04-20T07:10:34Z
56.473198,35.808598,26475,220,2026-04-20T07:10:36Z
56.47678,35.804287,26500,340,2026-04-20T07:10:38Z
56.480091,35.799179,26550,340,2026-04-20T07:10:40Z
56.482761,35.79538,26575,40,2026-04-20T07:10:42Z
56.487751,35.788921,26600,260,2026-04-20T07:10:44Z
56.490803,35.784264,26650,478,2026-04-20T07:10:46Z
56.49387,35.779789,26675,469,2026-04-20T07:10:48Z
56.497684,35.774914,26700,290,2026-04-20T07:10:51Z
56.501415,35.769932,26725,260,2026-04-20T07:10:53Z
56.504948,35.764519,26775,476,2026-04-20T07:10:55Z
56.509056,35.758858,26800,482,2026-04-20T07:10:57Z
56.512497,35.753819,26825,475,2026-04-20T07:10:59Z
56.516499,35.748314,26850,473,2026-04-20T07:11:01Z
56.520805,35.742245,26900,473,2026-04-20T07:11:03Z
56.524094,35.737164,26950,330,2026-04-20T07:11:05Z
56.527878,35.732437,27000,290,2026-04-20T07:11:08Z
56.530754,35.728275,27050,90,2026-04-20T07:11:10Z
56.534893,35.722675,27100,240,2026-04-20T07:11:12Z
56.538525,35.716583,27150,290,2026-04-20T07:11:14Z
56.542683,35.711674,27250,475,2026-04-20T07:11:16Z
56.547035,35.705799,27300,473,2026-04-20T07:11:18Z
56.551033,35.700169,27375,500,2026-04-20T07:11:21Z
56.554195,35.69561,27450,190,2026-04-20T07:11:23Z
56.557652,35.69054,27550,140,2026-04-20T07:11:26Z
56.563293,35.682987,27625,470,2026-04-20T07:11:28Z
56.566601,35.677723,27700,474,2026-04-20T07:11:30Z
56.569431,35.673824,27775,230,2026-04-20T07:11:32Z
56.573009,35.668816,27900,250,2026-04-20T07:11:34Z
56.577637,35.66272,28000,150,2026-04-20T07:11:36Z
56.580193,35.658932,28100,20,2026-04-20T07:11:38Z
56.585033,35.652218,28225,477,2026-04-20T07:11:41Z
56.587502,35.648895,28350,230,2026-04-20T07:11:43Z
