lat,lon,Altitude,Speed,UTC
55.98037,37.416042,0,0,2026-04-21T06:35:27Z
55.980148,37.414539,0,1,2026-04-21T06:38:46Z
55.979942,37.414608,0,0,2026-04-21T06:41:03Z
55.972012,37.399391,0,9,2026-04-21T06:48:06Z
55.976944,37.435081,1000,160,2026-04-21T06:49:30Z
55.980965,37.469646,2250,154,2026-04-21T06:49:57Z
55.982208,37.480904,2625,154,2026-04-21T06:50:06Z
55.983131,37.489769,2875,154,2026-04-21T06:50:13Z
55.983383,37.492668,2950,154,2026-04-21T06:50:15Z
55.98386,37.497757,3050,154,2026-04-21T06:50:18Z
55.984287,37.501823,3175,154,2026-04-21T06:50:22Z
55.984589,37.504612,3250,154,2026-04-21T06:50:24Z
55.984859,37.506622,3350,154,2026-04-21T06:50:26Z
55.985237,37.509899,3475,154,2026-04-21T06:50:29Z
55.985764,37.513924,3625,152,2026-04-21T06:50:32Z
55.986439,37.51981,3800,152,2026-04-21T06:50:36Z
55.986809,37.522579,3900,152,2026-04-21T06:50:39Z
55.987026,37.52425,3950,152,2026-04-21T06:50:41Z
55.987419,37.527237,4000,154,2026-04-21T06:50:43Z
55.987724,37.529926,4050,158,2026-04-21T06:50:45Z
55.987991,37.532051,4100,158,2026-04-21T06:50:47Z
55.988808,37.538208,4175,164,2026-04-21T06:50:51Z
55.989212,37.541733,4200,164,2026-04-21T06:50:53Z
55.98951,37.543957,4250,164,2026-04-21T06:50:56Z
55.99184,37.559902,4400,54,2026-04-21T06:51:06Z
55.997074,37.591354,4700,53,2026-04-21T06:51:27Z
56.003529,37.625622,5500,53,2026-04-21T06:51:47Z
56.014236,37.659725,6775,55,2026-04-21T06:52:07Z
56.033401,37.669735,7550,53,2026-04-21T06:52:28Z
56.05695,37.660202,8075,53,2026-04-21T06:52:49Z
56.080605,37.645443,8600,54,2026-04-21T06:53:09Z
56.10265,37.620598,9175,53,2026-04-21T06:53:30Z
56.113663,37.57328,9725,54,2026-04-21T06:53:51Z
56.111267,37.535904,10125,55,2026-04-21T06:54:07Z
56.101574,37.485508,10625,54,2026-04-21T06:54:27Z
56.091171,37.433327,11225,54,2026-04-21T06:54:47Z
56.079952,37.377632,12350,54,2026-04-21T06:55:08Z
56.07193,37.291531,13650,354,2026-04-21T06:55:39Z
56.072124,37.286636,13775,190,2026-04-21T06:55:41Z
56.072292,37.280308,13850,354,2026-04-21T06:55:44Z
56.072609,37.273193,13950,260,2026-04-21T06:55:46Z
56.072845,37.266697,14050,352,2026-04-21T06:55:48Z
56.073029,37.260555,14150,310,2026-04-21T06:55:50Z
56.073151,37.25642,14250,323,2026-04-21T06:55:52Z
56.07341,37.249599,14350,337,2026-04-21T06:55:54Z
56.073689,37.242699,14450,340,2026-04-21T06:55:57Z
56.073933,37.236897,14500,349,2026-04-21T06:55:59Z
56.074249,37.229828,14575,353,2026-04-21T06:56:01Z
56.074463,37.223755,14650,347,2026-04-21T06:56:04Z
56.074722,37.216793,14725,361,2026-04-21T06:56:06Z
56.074913,37.211201,14750,339,2026-04-21T06:56:08Z
56.075127,37.203747,14825,270,2026-04-21T06:56:11Z
56.07542,37.197784,14875,344,2026-04-21T06:56:13Z
56.075546,37.191742,14950,335,2026-04-21T06:56:15Z
56.078846,37.098396,16075,363,2026-04-21T06:56:47Z
56.079136,37.091995,16175,170,2026-04-21T06:56:49Z
56.079178,37.086411,16250,344,2026-04-21T06:56:51Z
56.07946,37.080399,16325,340,2026-04-21T06:56:54Z
56.079762,37.072723,16400,342,2026-04-21T06:56:56Z
56.080048,37.067181,16500,350,2026-04-21T06:56:58Z
56.080242,37.060478,16575,343,2026-04-21T06:57:00Z
56.080509,37.054176,16650,351,2026-04-21T06:57:02Z
56.08083,37.047817,16725,130,2026-04-21T06:57:04Z
56.080963,37.04216,16825,384,2026-04-21T06:57:07Z
56.081261,37.035107,16900,359,2026-04-21T06:57:09Z
56.081429,37.029533,17000,90,2026-04-21T06:57:11Z
56.081619,37.02359,17075,338,2026-04-21T06:57:13Z
56.082165,37.016163,17150,395,2026-04-21T06:57:15Z
56.082344,37.010338,17250,365,2026-04-21T06:57:17Z
56.082497,37.004807,17325,350,2026-04-21T06:57:19Z
56.082699,36.998154,17400,355,2026-04-21T06:57:21Z
56.082832,36.992649,17450,353,2026-04-21T06:57:24Z
56.083057,36.986259,17525,353,2026-04-21T06:57:26Z
56.083363,36.979065,17625,358,2026-04-21T06:57:28Z
56.083553,36.972218,17700,333,2026-04-21T06:57:30Z
56.083858,36.966717,17775,342,2026-04-21T06:57:32Z
56.084038,36.96093,17850,340,2026-04-21T06:57:34Z
56.084335,36.954094,17925,356,2026-04-21T06:57:36Z
56.084549,36.948517,18000,359,2026-04-21T06:57:38Z
56.084812,36.941841,18075,365,2026-04-21T06:57:41Z
56.085114,36.935986,18150,363,2026-04-21T06:57:43Z
56.085346,36.929043,18225,357,2026-04-21T06:57:45Z
56.085655,36.922352,18300,367,2026-04-21T06:57:47Z
56.085949,36.915531,18375,365,2026-04-21T06:57:49Z
56.086243,36.909317,18475,368,2026-04-21T06:57:51Z
56.086388,36.903702,18525,360,2026-04-21T06:57:53Z
56.086605,36.896793,18625,356,2026-04-21T06:57:56Z
56.086887,36.890121,18700,365,2026-04-21T06:57:58Z
56.087132,36.883152,18750,365,2026-04-21T06:58:00Z
56.091461,36.784382,19875,381,2026-04-21T06:58:33Z
56.095257,36.683514,21150,377,2026-04-21T06:59:06Z
56.098953,36.583923,22050,383,2026-04-21T06:59:38Z
56.103069,36.479446,23025,385,2026-04-21T07:00:11Z
56.106667,36.390362,23800,150,2026-04-21T07:00:39Z
56.107174,36.382256,23875,392,2026-04-21T07:00:41Z
56.10751,36.374557,23950,395,2026-04-21T07:00:43Z
56.107731,36.367611,24000,395,2026-04-21T07:00:45Z
56.108017,36.360039,24050,394,2026-04-21T07:00:48Z
56.108299,36.352905,24125,390,2026-04-21T07:00:50Z
