lat,lon,Altitude,Speed,UTC
55.976257,37.398895,0,2,2026-04-07T06:43:30Z
55.956852,37.35408,3000,156,2026-04-07T06:55:50Z
55.954124,37.339539,3400,156,2026-04-07T06:56:01Z
55.952473,37.330719,3625,158,2026-04-07T06:56:09Z
55.951244,37.322842,3825,158,2026-04-07T06:56:15Z
55.950687,37.319214,3875,158,2026-04-07T06:56:17Z
55.95034,37.316761,3950,158,2026-04-07T06:56:19Z
55.949944,37.314083,4025,158,2026-04-07T06:56:22Z
55.949543,37.31134,4100,158,2026-04-07T06:56:24Z
55.94902,37.307308,4225,156,2026-04-07T06:56:27Z
55.948635,37.30455,4275,156,2026-04-07T06:56:29Z
55.948235,37.301651,4325,158,2026-04-07T06:56:31Z
55.9473,37.29504,4400,164,2026-04-07T06:56:35Z
55.946926,37.292271,4425,168,2026-04-07T06:56:38Z
55.946465,37.28838,4475,172,2026-04-07T06:56:41Z
55.94606,37.284847,4500,174,2026-04-07T06:56:43Z
55.945423,37.279678,4525,178,2026-04-07T06:56:46Z
55.945213,37.278118,4550,180,2026-04-07T06:56:48Z
55.944344,37.270882,4625,188,2026-04-07T06:56:52Z
55.943951,37.267445,4675,190,2026-04-07T06:56:54Z
55.946693,37.256462,4725,590,2026-04-07T06:56:59Z
55.968521,37.401623,4950,53,2026-04-07T06:57:20Z
55.935699,37.177948,5525,54,2026-04-07T06:57:42Z
55.928745,37.132423,6475,55,2026-04-07T06:58:03Z
55.922474,37.090118,7600,53,2026-04-07T06:58:24Z
55.916382,37.045181,8550,54,2026-04-07T06:58:45Z
55.917393,37.015808,9125,53,2026-04-07T06:58:58Z
55.933311,36.978802,10125,53,2026-04-07T06:59:19Z
55.952595,36.947548,10800,54,2026-04-07T06:59:39Z
55.971607,36.90937,11175,54,2026-04-07T07:00:00Z
55.992012,36.86665,11500,53,2026-04-07T07:00:20Z
56.013443,36.823128,11950,54,2026-04-07T07:00:41Z
56.036224,36.778305,12750,54,2026-04-07T07:01:01Z
56.083046,36.68811,14325,54,2026-04-07T07:01:43Z
56.130688,36.594608,15775,54,2026-04-07T07:02:25Z
56.151939,36.552296,16300,54,2026-04-07T07:02:42Z
56.177315,36.502502,17025,53,2026-04-07T07:03:03Z
56.202038,36.454338,17750,53,2026-04-07T07:03:24Z
56.240314,36.37907,18625,200,2026-04-07T07:03:55Z
56.248928,36.362106,18825,403,2026-04-07T07:04:01Z
56.251278,36.357643,18875,401,2026-04-07T07:04:04Z
56.254948,36.350315,18950,420,2026-04-07T07:04:06Z
56.256508,36.347084,19000,396,2026-04-07T07:04:08Z
56.258923,36.34301,19100,350,2026-04-07T07:04:11Z
56.265713,36.333656,19175,490,2026-04-07T07:04:14Z
56.268223,36.323631,19275,270,2026-04-07T07:04:17Z
56.271397,36.317173,19350,210,2026-04-07T07:04:20Z
56.27475,36.311306,19425,406,2026-04-07T07:04:22Z
56.277645,36.30595,19475,190,2026-04-07T07:04:24Z
56.280125,36.301785,19525,170,2026-04-07T07:04:26Z
56.282726,36.295944,19625,401,2026-04-07T07:04:28Z
56.286304,36.289051,19675,390,2026-04-07T07:04:31Z
56.288094,36.285553,19750,400,2026-04-07T07:04:33Z
56.291218,36.279404,19825,405,2026-04-07T07:04:35Z
56.293743,36.274647,19875,280,2026-04-07T07:04:37Z
56.297215,36.26754,19950,400,2026-04-07T07:04:39Z
