lat,lon,Altitude,Speed,UTC
55.974838,37.389908,0,0,2026-04-18T06:46:13Z
55.974422,37.39053,0,2,2026-04-18T06:52:47Z
55.973854,37.402058,0,0,2026-04-18T06:56:33Z
55.977493,37.427845,0,7,2026-04-18T06:59:37Z
55.975948,37.427963,0,0,2026-04-18T07:00:41Z
55.969803,37.386559,1100,165,2026-04-18T07:02:05Z
55.957027,37.349712,2525,150,2026-04-18T07:02:38Z
55.955379,37.341991,2775,170,2026-04-18T07:02:45Z
55.953358,37.331478,3000,169,2026-04-18T07:02:53Z
55.952866,37.32885,3075,169,2026-04-18T07:02:55Z
55.951992,37.324913,3175,172,2026-04-18T07:02:58Z
55.951618,37.322109,3250,168,2026-04-18T07:03:00Z
55.95121,37.319431,3325,166,2026-04-18T07:03:02Z
55.95055,37.315643,3400,167,2026-04-18T07:03:05Z
55.950104,37.312832,3450,171,2026-04-18T07:03:07Z
55.949734,37.310375,3525,169,2026-04-18T07:03:09Z
55.949169,37.30677,3575,169,2026-04-18T07:03:11Z
55.948833,37.30476,3650,166,2026-04-18T07:03:13Z
55.94841,37.301907,3700,167,2026-04-18T07:03:16Z
55.947815,37.297955,3775,165,2026-04-18T07:03:18Z
55.947456,37.295467,3825,163,2026-04-18T07:03:20Z
55.946999,37.292522,3900,168,2026-04-18T07:03:23Z
55.946606,37.28936,3925,168,2026-04-18T07:03:25Z
55.946217,37.286457,3975,170,2026-04-18T07:03:27Z
55.948971,37.273632,4050,300,2026-04-18T07:03:32Z
55.948265,37.270176,4075,203,2026-04-18T07:03:35Z
55.948036,37.267864,4100,188,2026-04-18T07:03:37Z
55.947704,37.264858,4150,178,2026-04-18T07:03:39Z
55.94725,37.261906,4175,176,2026-04-18T07:03:41Z
55.946751,37.258488,4225,180,2026-04-18T07:03:43Z
55.946293,37.25523,4250,182,2026-04-18T07:03:45Z
55.945847,37.252182,4300,184,2026-04-18T07:03:48Z
55.94529,37.248402,4325,187,2026-04-18T07:03:50Z
55.94487,37.2453,4375,187,2026-04-18T07:03:52Z
55.944302,37.241646,4400,189,2026-04-18T07:03:54Z
55.943882,37.238609,4425,191,2026-04-18T07:03:56Z
55.943478,37.235386,4475,192,2026-04-18T07:03:59Z
55.94265,37.231403,4525,197,2026-04-18T07:04:01Z
55.942173,37.228569,4550,199,2026-04-18T07:04:03Z
55.941723,37.224686,4600,202,2026-04-18T07:04:05Z
55.941261,37.221439,4625,204,2026-04-18T07:04:07Z
55.940681,37.216885,4675,210,2026-04-18T07:04:09Z
55.940121,37.212601,4700,206,2026-04-18T07:04:11Z
55.939781,37.210526,4775,211,2026-04-18T07:04:14Z
55.939255,37.20628,4825,214,2026-04-18T07:04:16Z
55.938721,37.202126,4850,215,2026-04-18T07:04:18Z
55.938068,37.198235,4900,212,2026-04-18T07:04:20Z
55.937744,37.195541,4925,218,2026-04-18T07:04:22Z
55.936813,37.191509,4975,170,2026-04-18T07:04:24Z
55.936417,37.188198,5025,226,2026-04-18T07:04:26Z
55.935379,37.181759,5100,130,2026-04-18T07:04:30Z
55.935104,37.177433,5150,239,2026-04-18T07:04:32Z
55.934574,37.173504,5225,238,2026-04-18T07:04:34Z
55.933548,37.168941,5275,233,2026-04-18T07:04:37Z
55.932358,37.160625,5375,160,2026-04-18T07:04:41Z
55.93145,37.155285,5425,276,2026-04-18T07:04:43Z
55.930946,37.150997,5475,160,2026-04-18T07:04:46Z
55.930389,37.146557,5525,140,2026-04-18T07:04:48Z
55.930119,37.142712,5575,276,2026-04-18T07:04:50Z
55.929043,37.138603,5650,150,2026-04-18T07:04:52Z
55.92857,37.134346,5750,261,2026-04-18T07:04:54Z
55.928143,37.12925,5800,261,2026-04-18T07:04:56Z
55.927486,37.125156,5900,259,2026-04-18T07:04:59Z
55.926319,37.1199,5975,230,2026-04-18T07:05:01Z
55.925755,37.114666,6100,283,2026-04-18T07:05:04Z
55.924767,37.110302,6175,322,2026-04-18T07:05:06Z
55.923985,37.10474,6250,278,2026-04-18T07:05:08Z
55.924641,37.101063,6350,170,2026-04-18T07:05:10Z
55.922935,37.096905,6425,210,2026-04-18T07:05:12Z
55.922493,37.092552,6550,262,2026-04-18T07:05:14Z
55.921635,37.087997,6625,269,2026-04-18T07:05:16Z
55.921249,37.083534,6725,262,2026-04-18T07:05:19Z
55.919987,37.075562,6875,349,2026-04-18T07:05:22Z
55.919201,37.071407,6975,308,2026-04-18T07:05:24Z
55.91827,37.06683,7075,297,2026-04-18T07:05:26Z
55.917347,37.061348,7175,286,2026-04-18T07:05:29Z
55.917351,37.056961,7250,227,2026-04-18T07:05:31Z
55.916237,37.052357,7375,270,2026-04-18T07:05:33Z
55.91531,37.047638,7450,275,2026-04-18T07:05:35Z
55.915115,37.04327,7525,80,2026-04-18T07:05:37Z
55.914089,37.038261,7625,304,2026-04-18T07:05:40Z
55.913662,37.033173,7725,277,2026-04-18T07:05:42Z
55.913025,37.027912,7800,272,2026-04-18T07:05:44Z
55.911694,37.02293,7875,160,2026-04-18T07:05:47Z
55.910759,37.013439,7975,320,2026-04-18T07:05:50Z
55.911579,37.010044,8025,339,2026-04-18T07:05:52Z
55.910824,37.006538,8075,183,2026-04-18T07:05:54Z
55.910095,37.00008,8150,220,2026-04-18T07:05:57Z
55.91106,36.994743,8225,190,2026-04-18T07:05:59Z
55.911266,36.990471,8300,282,2026-04-18T07:06:01Z
55.912537,36.985531,8375,282,2026-04-18T07:06:03Z
55.912598,36.977039,8500,282,2026-04-18T07:06:06Z
55.914501,36.972614,8625,282,2026-04-18T07:06:09Z
55.915054,36.969067,8725,280,2026-04-18T07:06:11Z
55.916428,36.963276,8825,280,2026-04-18T07:06:13Z
55.917366,36.96019,8950,280,2026-04-18T07:06:15Z
55.91848,36.952919,9050,280,2026-04-18T07:06:17Z
55.920757,36.948227,9225,280,2026-04-18T07:06:21Z
55.922218,36.943901,9300,280,2026-04-18T07:06:23Z
55.923481,36.939655,9400,280,2026-04-18T07:06:25Z
55.925133,36.934631,9500,280,2026-04-18T07:06:27Z
55.926147,36.931072,9575,280,2026-04-18T07:06:29Z
55.927612,36.925983,9650,282,2026-04-18T07:06:31Z
55.929016,36.922188,9750,282,2026-04-18T07:06:34Z
55.930336,36.917862,9825,282,2026-04-18T07:06:36Z
55.931614,36.913746,9900,282,2026-04-18T07:06:38Z
55.932934,36.909367,9975,284,2026-04-18T07:06:40Z
55.934498,36.904957,10050,284,2026-04-18T07:06:42Z
55.935738,36.900417,10150,284,2026-04-18T07:06:44Z
55.937096,36.895611,10250,286,2026-04-18T07:06:46Z
55.938744,36.890499,10325,286,2026-04-18T07:06:48Z
55.939926,36.886787,10375,288,2026-04-18T07:06:50Z
55.941265,36.883118,10450,288,2026-04-18T07:06:53Z
55.942616,36.877731,10525,288,2026-04-18T07:06:55Z
55.943989,36.873386,10625,288,2026-04-18T07:06:57Z
55.94521,36.869022,10725,288,2026-04-18T07:06:59Z
55.946495,36.864799,10825,288,2026-04-18T07:07:01Z
55.947922,36.859837,10950,288,2026-04-18T07:07:04Z
55.949467,36.854916,11075,288,2026-04-18T07:07:06Z
55.951023,36.85022,11175,286,2026-04-18T07:07:08Z
55.952572,36.844818,11275,286,2026-04-18T07:07:10Z
55.953568,36.841476,11350,286,2026-04-18T07:07:13Z
55.955135,36.836449,11450,286,2026-04-18T07:07:15Z
55.956657,36.831379,11550,286,2026-04-18T07:07:17Z
55.957924,36.827435,11625,286,2026-04-18T07:07:19Z
55.959522,36.822315,11700,288,2026-04-18T07:07:21Z
55.960777,36.818432,11775,288,2026-04-18T07:07:23Z
55.962402,36.813435,11825,288,2026-04-18T07:07:26Z
55.964592,36.807144,11875,288,2026-04-18T07:07:28Z
55.966148,36.799763,11950,286,2026-04-18T07:07:32Z
55.967381,36.795425,11975,286,2026-04-18T07:07:34Z
55.969048,36.790016,12025,286,2026-04-18T07:07:36Z
55.971424,36.784882,12100,286,2026-04-18T07:07:40Z
55.972294,36.779671,12150,284,2026-04-18T07:07:42Z
55.974304,36.775497,12225,284,2026-04-18T07:07:44Z
